JpNames,Translation,Region,Area,Region.alt,Region.time,Yayoi.start
愛知県,Aichi,Chubu,4939.81576822164,Tokai,東海.中部,-500
岐阜県,Gifu,Chubu,10684.6075304046,Chubu,東海.中部,-500
秋田県,Akita,Tohoku,11710.3761229704,Tohoku,東北,-450
石川県,Ishikawa,Chubu,4112.76750064137,Hokuriku,北陸,-380
青森県,Aomori,Tohoku,9644.62911679733,Tohoku,東北,-450
千葉県,Chiba,Kanto,5111.21387450937,Kanto,関東,-100
愛媛県,Ehime,Shikoku,5633.71496640371,Shikoku,その他の九州.中.四国,-700
佐賀県,Saga,Kyushu,2448.27283525136,Kyushu,福岡.佐賀,-965
福岡県,Fukuoka,Kyushu,5053.32951292827,Kyushu,福岡.佐賀,-965
宮崎県,Miyazaki,Kyushu,7861.80655329755,Kyushu,その他の九州.中.四国,-700
高知県,Kochi,Shikoku,7091.70626388184,Shikoku,その他の九州.中.四国,-700
大分県,Oita,Kyushu,6553.53306037417,Kyushu,その他の九州.中.四国,-700
長崎県,Nagasaki,Kyushu,3992.60864466668,Kyushu,その他の九州.中.四国,-700
熊本県,Kumamoto,Kyushu,7258.17594731184,Kyushu,その他の九州.中.四国,-700
広島県,Hiroshima,Chugoku,8303.32208228023,Chugoku,その他の九州.中.四国,-700
福井県,Fukui,Chubu,4220.12978918402,Hokuriku,北陸,-380
群馬県,Gunma,Kanto,6334.57470297385,Kanto,関東,-100
北海道,Hokkaido,Hokkaido,78638.0186321597,Hokkaido,北海道,
福島県,Fukushima,Tohoku,13979.7153724229,Tohoku,東北,-450
神奈川県,Kanagawa,Kanto,2384.1833272149,Kanto,関東,-100
兵庫県,Hyogo,Kansai,8382.33608027334,Kinki,近畿,-650
茨城県,Ibaraki,Kanto,6334.61723538137,Kanto,関東,-100
岩手県,Iwate,Tohoku,15458.7187664785,Tohoku,東北,-450
鹿児島県,Kagoshima,Kyushu,7708.88071705827,Kyushu,その他の九州.中.四国,-700
香川県,Kagawa,Shikoku,1853.82986158399,Shikoku,その他の九州.中.四国,-700
京都府,Kyoto,Kansai,4611.12053178309,Kinki,近畿,-650
三重県,Mie,Kansai,5820.51572639667,Kinki,近畿,-650
宮城県,Miyagi,Tohoku,7496.97325112806,Tohoku,東北,-450
新潟県,Niigata,Chubu,12446.8984141807,Hokuriku,北陸,-380
長野県,Nagano,Chubu,13694.0307474658,Chubu,東海.中部,-500
奈良県,Nara,Kansai,3851.9114180393,Kinki,近畿,-650
東京都,Tokyo,Kanto,2183.43988218603,Kanto,関東,-100
岡山県,Okayama,Chugoku,6935.52951292759,Chugoku,その他の九州.中.四国,-700
沖縄県,Okinawa,Kyushu,3302.52935270291,Kyushu,その他の九州.中.四国,-700
大阪府,Osaka,Kansai,1855.2957304039,Kinki,近畿,-650
富山県,Toyama,Chubu,4367.38390058315,Hokuriku,北陸,-380
鳥取県,Tottori,Chugoku,3704.13780900789,Chugoku,その他の九州.中.四国,-700
埼玉県,Saitama,Kanto,3883.9817978405,Kanto,関東,-100
滋賀県,Shiga,Kansai,4008.86959027334,Kinki,近畿,-650
島根県,Shimane,Chugoku,6877.90284186144,Chugoku,その他の九州.中.四国,-700
静岡県,Shizuoka,Chubu,7669.04545402007,Tokai,東海.中部,-500
栃木県,Tochigi,Kanto,6480.01493298143,Kanto,関東,-100
徳島県,Tokushima,Shikoku,4249.55571294836,Shikoku,その他の九州.中.四国,-700
山形県,Yamagata,Tohoku,9238.02690449224,Tohoku,東北,-450
山梨県,Yamanashi,Chubu,4509.80543180626,Chubu,東海.中部,-500
和歌山県,Wakayama,Kansai,4429.9637504988,Kinki,近畿,-650
山口県,Yamaguchi,Chugoku,6022.97244572679,Chugoku,その他の九州.中.四国,-700
